lake,buffer_m,ndvi_dry_slope,ndvi_monsoon_slope,lst_slope
Pichola,100,-0.00801207190905979,0.01726548426637524,
Pichola,500,-0.00380746619007051,0.01920354014790034,
Pichola,1000,0.0020202303574466695,0.019687670786199228,
Pichola,5000,0.0120108451691811,0.014415154956067065,-0.1663880841839544
Chilika,100,0.0018089501979108341,0.01637037394981006,
Chilika,500,0.0011938802075058689,0.017073024990010465,
Chilika,1000,0.0009303888442176363,0.01722799936351187,
Chilika,5000,0.000287803752291682,0.018943429733186003,
Tungabhadra,100,0.0050142623567678395,-0.010712377412603537,
Tungabhadra,500,0.0119771502814352,-0.03755376062879697,
Tungabhadra,1000,0.01163793047840384,-0.02651365531946766,
Tungabhadra,5000,0.007794586147936559,-0.0013689864959303367,
Sukhna,100,0.009908633873219483,0.025840383548228468,
Sukhna,500,0.010258401670786616,0.019253057282081206,
Sukhna,1000,0.008624130152290084,0.018161784781033086,
Sukhna,5000,0.00887825532281876,0.014821287045054546,-0.020098772225574515
